ID Transaksi,Tanggal Transaksi,Metode Pembayaran,Nama Barang 1,Kategori Barang 1,Jumlah Barang Dibeli 1,Harga Barang 1,Nama Barang 2,Kategori Barang 2,Jumlah Barang Dibeli 2,Harga Barang 2,Nama Barang 3,Kategori Barang 3,Jumlah Barang Dibeli 3,Harga Barang 3,Nama Barang 4,Kategori Barang 4,Jumlah Barang Dibeli 4,Harga Barang 4,Nama Barang 5,Kategori Barang 5,Jumlah Barang Dibeli 5,Harga Barang 5,Total Harga Transaksi
qf7fypaR,2024-11-04,Cash,Life Cat Pouch - Salmon Adult,Makanan Kucing,1,4453,Life Cat Can - Kitten Tuna,Makanan Kucing,5,12000,Mainan Anjing Kong,Mainan Anjing,6.0,20000.0,Life Cat Can - Kitten Salmon,Makanan Kucing,2.0,12024.0,,,,,208501
Zc36vBOm,2024-06-22,Transfer Bank,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,1,4500,Makanan Kucing Whiskas,Makanan Kucing,4,45000,Life Cat Pouch - Salmon Adult,Makanan Kucing,6.0,4453.0,Life Cat Tofu - Macha,Makanan Kucing,3.0,55833.0,,,,,378717
dS6RCfNd,2024-07-03,Transfer Bank,Makanan Ikan Gupi,Makanan Ikan,3,35000,Life Cat Can - Kitten Tuna,Makanan Kucing,10,12000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,9.0,4435.0,Life Cat Tofu - Mango,Makanan Kucing,8.0,55833.0,,,,,711579
hXbyqQvi,2024-02-24,Cash,Life Cat Can - Chicken & Salmon,Makanan Kucing,5,12000,Life Cat Can - Tuna,Makanan Kucing,5,11000,,,,,,,,,,,,,115000
C1YVXfBC,2024-12-28,Cash,Life Cat Can - Chicken & Salmon,Makanan Kucing,8,12000,Life Cat Can - Tuna,Makanan Kucing,10,11000,Makanan Ikan Gupi,Makanan Ikan,6.0,35000.0,,,,,,,,,416000
EogZRbXe,2024-06-17,Transfer Bank,Life Cat Can - Chicken & Salmon,Makanan Kucing,9,12000,Life Cat Can - Tuna,Makanan Kucing,2,11000,,,,,,,,,,,,,130000
le30OKog,2024-02-17,Cash,Mainan Anjing Kong,Mainan Anjing,8,20000,Life Cat Tofu - Mango,Makanan Kucing,10,55833,Life Cat Pouch - Kitten Tuna,Makanan Kucing,9.0,4435.0,,,,,,,,,758245
IQeQKZLv,2024-06-30,Cash,Life Cat Can - Chicken & Salmon,Makanan Kucing,6,12000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,2,4435,Life Cat Can - Tuna,Makanan Kucing,10.0,11000.0,Mainan Anjing Kong,Mainan Anjing,1.0,20000.0,Mainan Kucing ScratchPad,Mainan Kucing,9.0,25000.0,435870
MV4hgloO,2024-07-23,Cash,Makanan Anjing Purina,Makanan Anjing,5,50000,Mainan Kucing ScratchPad,Mainan Kucing,10,25000,Life Cat Can - Chicken & Salmon,Makanan Kucing,1.0,12000.0,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,8.0,4500.0,,,,,548000
bpYlP2FR,2024-01-08,QRIS,Life Cat Pouch Dus,Makanan Kucing,7,108000,Life Cat Tofu - Macha,Makanan Kucing,2,55833,Life Cat Can - Tuna,Makanan Kucing,8.0,11000.0,,,,,,,,,955666
rpAL3USJ,2024-01-05,Cash,Life Cat Can - Kitten Tuna,Makanan Kucing,4,12000,Life Cat Tofu - Mango,Makanan Kucing,8,55833,,,,,,,,,,,,,494664
4rLgmHzg,2024-01-29,QRIS,Mainan Kucing ScratchPad,Mainan Kucing,9,25000,Life Cat Tofu - Macha,Makanan Kucing,1,55833,,,,,,,,,,,,,280833
C6WJMQfu,2024-05-12,Transfer Bank,Life Cat Tofu - Mango,Makanan Kucing,5,55833,Mainan Anjing Kong,Mainan Anjing,8,20000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,6.0,4435.0,Life Cat Can - Kitten Tuna,Makanan Kucing,6.0,12000.0,,,,,537775
jF6yfeqR,2024-01-08,Cash,Life Cat Pouch - Kitten Tuna,Makanan Kucing,8,4435,Life Cat Tofu - Mango,Makanan Kucing,8,55833,Life Cat Pouch - Chicken adult,Makanan Kucing,6.0,4435.0,Life Cat Pouch Dus,Makanan Kucing,10.0,108000.0,,,,,1588754
UUHLzMFo,2024-12-18,Transfer Bank,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,1,4500,Mainan Anjing Kong,Mainan Anjing,1,20000,Life Cat Pouch - Salmon Adult,Makanan Kucing,10.0,4453.0,Life Cat Tofu - Mango,Makanan Kucing,2.0,55833.0,,,,,180696
oKVgvZO1,2024-02-10,QRIS,Life Cat Tofu - Macha,Makanan Kucing,4,55833,Makanan Ikan Gupi,Makanan Ikan,5,35000,,,,,,,,,,,,,398332
Etid8qIF,2024-04-27,Cash,Life Cat Can - Chicken & Salmon,Makanan Kucing,5,12000,Life Cat Can - Kitten Salmon,Makanan Kucing,9,12024,,,,,,,,,,,,,168216
sXZQXW4T,2024-10-20,Transfer Bank,Life Cat Pouch Dus,Makanan Kucing,10,108000,Life Cat Pouch - Chicken adult,Makanan Kucing,3,4435,Life Cat Tofu - Mango,Makanan Kucing,8.0,55833.0,Makanan Anjing Purina,Makanan Anjing,4.0,50000.0,Life Cat Can - Kitten Salmon,Makanan Kucing,2.0,12024.0,1764017
EPHda4tN,2024-03-16,Cash,Makanan Ikan Gupi,Makanan Ikan,2,35000,Makanan Anjing Purina,Makanan Anjing,7,50000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,9.0,4500.0,Mainan Anjing Kong,Mainan Anjing,6.0,20000.0,Life Cat Can - Kitten Tuna,Makanan Kucing,5.0,12000.0,640500
pqLRnsb0,2024-01-02,Cash,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4,4500,Life Cat Tofu - Mango,Makanan Kucing,6,55833,Makanan Kucing Whiskas,Makanan Kucing,8.0,45000.0,Mainan Kucing ScratchPad,Mainan Kucing,8.0,25000.0,Mainan Anjing Kong,Mainan Anjing,4.0,20000.0,992998
R6XtqeW4,2024-07-31,QRIS,Life Cat Can - Chicken & Salmon,Makanan Kucing,2,12000,Makanan Anjing Purina,Makanan Anjing,3,50000,Life Cat Pouch - Chicken adult,Makanan Kucing,6.0,4435.0,Life Cat Pouch Dus,Makanan Kucing,2.0,108000.0,,,,,416610
CVvAUTWX,2024-02-06,Transfer Bank,Life Cat Pouch - Chicken adult,Makanan Kucing,3,4435,Life Cat Tofu - Mango,Makanan Kucing,8,55833,Life Cat Pouch Dus,Makanan Kucing,1.0,108000.0,,,,,,,,,567969
WDFo09qE,2024-12-03,QRIS,Life Cat Can - Chicken & Salmon,Makanan Kucing,2,12000,Life Cat Pouch - Salmon Adult,Makanan Kucing,8,4453,Life Cat Can - Tuna,Makanan Kucing,8.0,11000.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,9.0,4435.0,,,,,187539
4TDNRZ1e,2024-03-03,Transfer Bank,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,10,4500,Life Cat Pouch - Chicken adult,Makanan Kucing,1,4435,Life Cat Pouch - Kitten Chicken,Makanan Kucing,3.0,4435.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,8.0,4435.0,,,,,98220
oco60vpe,2024-12-08,QRIS,Mainan Kucing ScratchPad,Mainan Kucing,10,25000,Life Cat Tofu - Macha,Makanan Kucing,9,55833,Life Cat Tofu - Mango,Makanan Kucing,4.0,55833.0,,,,,,,,,975829
WNjZq83O,2024-06-23,Cash,Makanan Kucing Whiskas,Makanan Kucing,8,45000,Life Cat Pouch Dus,Makanan Kucing,10,108000,Mainan Anjing Kong,Mainan Anjing,4.0,20000.0,Life Cat Can - Kitten Salmon,Makanan Kucing,6.0,12024.0,Life Cat Can - Tuna,Makanan Kucing,7.0,11000.0,1669144
KCU5JXvO,2024-01-26,QRIS,Life Cat Pouch - Chicken adult,Makanan Kucing,7,4435,Makanan Ikan Gupi,Makanan Ikan,6,35000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4.0,4435.0,Life Cat Pouch - Salmon Adult,Makanan Kucing,1.0,4453.0,Makanan Kucing Whiskas,Makanan Kucing,3.0,45000.0,398238
Rdgw5mxb,2024-05-12,Transfer Bank,Makanan Anjing Purina,Makanan Anjing,3,50000,Life Cat Pouch Dus,Makanan Kucing,4,108000,,,,,,,,,,,,,582000
C0C3TCGt,2024-05-04,Transfer Bank,Life Cat Pouch - Kitten Chicken,Makanan Kucing,2,4435,Life Cat Can - Kitten Tuna,Makanan Kucing,4,12000,,,,,,,,,,,,,56870
cNKPsAaq,2024-05-16,Transfer Bank,Makanan Kucing Whiskas,Makanan Kucing,3,45000,Life Cat Tofu - Macha,Makanan Kucing,2,55833,Life Cat Pouch - Kitten Tuna,Makanan Kucing,1.0,4435.0,Mainan Kucing ScratchPad,Mainan Kucing,5.0,25000.0,Life Cat Can - Kitten Tuna,Makanan Kucing,7.0,12000.0,460101
hbrnbWFZ,2024-09-21,QRIS,Life Cat Can - Kitten Tuna,Makanan Kucing,3,12000,Life Cat Can - Kitten Salmon,Makanan Kucing,2,12024,Life Cat Tofu - Mango,Makanan Kucing,5.0,55833.0,Makanan Kucing Whiskas,Makanan Kucing,6.0,45000.0,,,,,609213
O6FCJInh,2024-03-26,Transfer Bank,Life Cat Tofu - Macha,Makanan Kucing,10,55833,Life Cat Pouch - Kitten Tuna,Makanan Kucing,7,4435,,,,,,,,,,,,,589375
vmd2WzTi,2024-05-17,Cash,Mainan Kucing ScratchPad,Mainan Kucing,4,25000,Makanan Ikan Gupi,Makanan Ikan,3,35000,Life Cat Pouch - Salmon Adult,Makanan Kucing,9.0,4453.0,,,,,,,,,245077
mNvfKezA,2024-11-10,QRIS,Life Cat Pouch Dus,Makanan Kucing,3,108000,Life Cat Can - Chicken & Salmon,Makanan Kucing,4,12000,Mainan Kucing ScratchPad,Mainan Kucing,8.0,25000.0,,,,,,,,,572000
1I2CPdcq,2024-04-16,Cash,Life Cat Can - Chicken & Salmon,Makanan Kucing,9,12000,Life Cat Tofu - Macha,Makanan Kucing,7,55833,Life Cat Can - Kitten Tuna,Makanan Kucing,8.0,12000.0,Life Cat Can - Tuna,Makanan Kucing,2.0,11000.0,Life Cat Pouch Dus,Makanan Kucing,2.0,108000.0,832831
gTx9ErPP,2024-03-04,QRIS,Life Cat Can - Tuna,Makanan Kucing,5,11000,Life Cat Can - Kitten Tuna,Makanan Kucing,10,12000,,,,,,,,,,,,,175000
WiKmvYHq,2024-11-27,Transfer Bank,Makanan Kucing Whiskas,Makanan Kucing,10,45000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,10,4435,Makanan Anjing Purina,Makanan Anjing,9.0,50000.0,,,,,,,,,944350
Ur1Tspiq,2024-03-20,QRIS,Life Cat Pouch Dus,Makanan Kucing,1,108000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,3,4500,Life Cat Can - Kitten Salmon,Makanan Kucing,9.0,12024.0,,,,,,,,,229716
iMjeI7Qs,2024-09-02,QRIS,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4,4435,Life Cat Pouch - Kitten Tuna,Makanan Kucing,6,4435,Makanan Ikan Gupi,Makanan Ikan,3.0,35000.0,Mainan Anjing Kong,Mainan Anjing,4.0,20000.0,Life Cat Can - Kitten Salmon,Makanan Kucing,5.0,12024.0,289470
9CpzzXOF,2024-11-29,QRIS,Makanan Ikan Gupi,Makanan Ikan,7,35000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4,4435,Life Cat Pouch - Salmon Adult,Makanan Kucing,6.0,4453.0,Makanan Anjing Purina,Makanan Anjing,5.0,50000.0,Mainan Kucing ScratchPad,Mainan Kucing,9.0,25000.0,764458
BrORzucx,2024-10-19,Transfer Bank,Life Cat Pouch - Salmon Adult,Makanan Kucing,7,4453,Life Cat Tofu - Mango,Makanan Kucing,2,55833,,,,,,,,,,,,,142837
VUcc9kfX,2024-05-23,Cash,Mainan Kucing ScratchPad,Mainan Kucing,9,25000,Life Cat Pouch Dus,Makanan Kucing,1,108000,Life Cat Can - Tuna,Makanan Kucing,5.0,11000.0,Life Cat Tofu - Macha,Makanan Kucing,8.0,55833.0,Makanan Ikan Gupi,Makanan Ikan,6.0,35000.0,1044664
Fih0q2mk,2024-12-10,Transfer Bank,Life Cat Pouch - Chicken adult,Makanan Kucing,1,4435,Life Cat Can - Kitten Tuna,Makanan Kucing,7,12000,Life Cat Pouch Dus,Makanan Kucing,1.0,108000.0,,,,,,,,,196435
A8QJ0ylF,2024-12-04,Cash,Life Cat Pouch - Chicken adult,Makanan Kucing,8,4435,Makanan Anjing Purina,Makanan Anjing,2,50000,Mainan Kucing ScratchPad,Mainan Kucing,3.0,25000.0,Life Cat Tofu - Mango,Makanan Kucing,6.0,55833.0,Life Cat Pouch Dus,Makanan Kucing,3.0,108000.0,869478
Vkj9EpUe,2024-10-24,Transfer Bank,Life Cat Pouch - Kitten Tuna,Makanan Kucing,7,4435,Life Cat Pouch - Chicken adult,Makanan Kucing,9,4435,Life Cat Pouch - Salmon Adult,Makanan Kucing,10.0,4453.0,Makanan Ikan Gupi,Makanan Ikan,10.0,35000.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,3.0,4435.0,478795
vFzvGGUd,2024-03-24,Cash,Life Cat Pouch - Kitten Tuna,Makanan Kucing,8,4435,Life Cat Can - Tuna,Makanan Kucing,7,11000,Life Cat Tofu - Macha,Makanan Kucing,10.0,55833.0,,,,,,,,,670810
wFOGsCD0,2024-08-03,QRIS,Life Cat Can - Kitten Tuna,Makanan Kucing,10,12000,Life Cat Pouch - Salmon Adult,Makanan Kucing,8,4453,,,,,,,,,,,,,155624
tI29V4Lu,2024-11-07,Cash,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,5,4500,Life Cat Can - Kitten Tuna,Makanan Kucing,10,12000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,7.0,4435.0,,,,,,,,,173545
0mu3Rrxq,2024-10-11,QRIS,Life Cat Can - Chicken & Salmon,Makanan Kucing,2,12000,Life Cat Can - Kitten Salmon,Makanan Kucing,10,12024,,,,,,,,,,,,,144240
rtvxrUht,2024-01-30,QRIS,Life Cat Pouch Dus,Makanan Kucing,4,108000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,9,4435,Makanan Ikan Gupi,Makanan Ikan,4.0,35000.0,Mainan Kucing ScratchPad,Mainan Kucing,1.0,25000.0,Life Cat Can - Kitten Tuna,Makanan Kucing,1.0,12000.0,648915
yzoPQQ4j,2024-05-15,QRIS,Life Cat Pouch Dus,Makanan Kucing,2,108000,Mainan Anjing Kong,Mainan Anjing,8,20000,,,,,,,,,,,,,376000
jRNfPGCg,2024-02-24,Transfer Bank,Life Cat Tofu - Macha,Makanan Kucing,1,55833,Makanan Kucing Whiskas,Makanan Kucing,7,45000,,,,,,,,,,,,,370833
zDzC9HpI,2024-11-03,Cash,Life Cat Can - Chicken & Salmon,Makanan Kucing,6,12000,Mainan Kucing ScratchPad,Mainan Kucing,9,25000,,,,,,,,,,,,,297000
wsdliPeJ,2024-01-21,QRIS,Mainan Kucing ScratchPad,Mainan Kucing,4,25000,Life Cat Can - Kitten Salmon,Makanan Kucing,9,12024,Makanan Anjing Purina,Makanan Anjing,4.0,50000.0,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,10.0,4500.0,Life Cat Can - Chicken & Salmon,Makanan Kucing,1.0,12000.0,465216
wYjIqGBt,2024-01-13,Transfer Bank,Life Cat Can - Kitten Salmon,Makanan Kucing,8,12024,Makanan Kucing Whiskas,Makanan Kucing,8,45000,Life Cat Can - Tuna,Makanan Kucing,7.0,11000.0,Life Cat Tofu - Mango,Makanan Kucing,3.0,55833.0,Life Cat Pouch - Chicken adult,Makanan Kucing,1.0,4435.0,705126
ZNQ2zaNe,2024-07-27,Transfer Bank,Life Cat Can - Tuna,Makanan Kucing,8,11000,Makanan Anjing Purina,Makanan Anjing,6,50000,Life Cat Tofu - Macha,Makanan Kucing,3.0,55833.0,,,,,,,,,555499
kvplmeo6,2024-06-16,QRIS,Life Cat Pouch - Salmon Adult,Makanan Kucing,9,4453,Life Cat Pouch Dus,Makanan Kucing,5,108000,,,,,,,,,,,,,580077
JzZHdvba,2024-07-29,Transfer Bank,Life Cat Can - Kitten Tuna,Makanan Kucing,5,12000,Makanan Anjing Purina,Makanan Anjing,3,50000,,,,,,,,,,,,,210000
z7f4uWTy,2024-05-09,Transfer Bank,Mainan Kucing ScratchPad,Mainan Kucing,10,25000,Life Cat Can - Tuna,Makanan Kucing,10,11000,,,,,,,,,,,,,360000
8aQDRIU4,2024-04-11,Cash,Life Cat Pouch Dus,Makanan Kucing,5,108000,Makanan Ikan Gupi,Makanan Ikan,9,35000,Life Cat Pouch - Chicken adult,Makanan Kucing,2.0,4435.0,,,,,,,,,863870
V9wUOGOv,2024-07-21,QRIS,Life Cat Pouch - Salmon Adult,Makanan Kucing,10,4453,Makanan Anjing Purina,Makanan Anjing,4,50000,,,,,,,,,,,,,244530
v1QECPvz,2024-04-13,Cash,Life Cat Pouch - Kitten Chicken,Makanan Kucing,10,4435,Life Cat Can - Kitten Salmon,Makanan Kucing,3,12024,,,,,,,,,,,,,80422
BoDsUEAs,2024-08-28,Cash,Life Cat Pouch - Chicken adult,Makanan Kucing,3,4435,Makanan Ikan Gupi,Makanan Ikan,1,35000,,,,,,,,,,,,,48305
d4NPtoJb,2024-11-13,Cash,Life Cat Can - Kitten Salmon,Makanan Kucing,6,12024,Life Cat Pouch - Chicken adult,Makanan Kucing,10,4435,,,,,,,,,,,,,116494
GV74SDIz,2024-11-22,Transfer Bank,Life Cat Pouch - Salmon Adult,Makanan Kucing,6,4453,Life Cat Can - Kitten Tuna,Makanan Kucing,5,12000,Life Cat Can - Tuna,Makanan Kucing,6.0,11000.0,Life Cat Can - Chicken & Salmon,Makanan Kucing,4.0,12000.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,10.0,4435.0,245068
2YA41CAy,2024-04-23,QRIS,Makanan Anjing Purina,Makanan Anjing,3,50000,Life Cat Pouch - Chicken adult,Makanan Kucing,2,4435,Makanan Ikan Gupi,Makanan Ikan,4.0,35000.0,Life Cat Tofu - Macha,Makanan Kucing,2.0,55833.0,,,,,410536
uJsHbUP8,2024-07-19,QRIS,Makanan Kucing Whiskas,Makanan Kucing,2,45000,Life Cat Can - Kitten Tuna,Makanan Kucing,6,12000,Life Cat Tofu - Macha,Makanan Kucing,10.0,55833.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,7.0,4435.0,,,,,751375
Tlm1a0iy,2024-06-08,QRIS,Mainan Kucing ScratchPad,Mainan Kucing,9,25000,Makanan Anjing Purina,Makanan Anjing,3,50000,,,,,,,,,,,,,375000
pUs3LsFg,2024-09-27,Transfer Bank,Life Cat Can - Tuna,Makanan Kucing,3,11000,Mainan Anjing Kong,Mainan Anjing,4,20000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,7.0,4435.0,,,,,,,,,144045
G2IIJED1,2024-08-20,Transfer Bank,Life Cat Can - Tuna,Makanan Kucing,3,11000,Life Cat Can - Kitten Tuna,Makanan Kucing,5,12000,,,,,,,,,,,,,93000
BCe4lz9o,2024-04-14,Cash,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4,4500,Life Cat Pouch - Chicken adult,Makanan Kucing,3,4435,Life Cat Can - Kitten Tuna,Makanan Kucing,8.0,12000.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,8.0,4435.0,Life Cat Can - Kitten Salmon,Makanan Kucing,2.0,12024.0,186833
uPh2Kr7H,2024-01-03,Cash,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,3,4500,Life Cat Pouch - Chicken adult,Makanan Kucing,7,4435,,,,,,,,,,,,,44545
kA7vuWT5,2024-05-30,Cash,Life Cat Pouch - Chicken adult,Makanan Kucing,1,4435,Life Cat Pouch - Salmon Adult,Makanan Kucing,10,4453,,,,,,,,,,,,,48965
HeCkwBnw,2024-08-08,QRIS,Life Cat Pouch - Kitten Chicken,Makanan Kucing,6,4435,Life Cat Tofu - Macha,Makanan Kucing,2,55833,Life Cat Pouch - Kitten Tuna,Makanan Kucing,2.0,4435.0,Mainan Anjing Kong,Mainan Anjing,1.0,20000.0,,,,,167146
QysOrtpq,2024-11-02,Transfer Bank,Life Cat Pouch - Chicken adult,Makanan Kucing,2,4435,Life Cat Can - Kitten Salmon,Makanan Kucing,3,12024,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,2.0,4500.0,Life Cat Pouch Dus,Makanan Kucing,7.0,108000.0,Life Cat Can - Chicken & Salmon,Makanan Kucing,3.0,12000.0,845942
NlOwxy1b,2024-03-25,QRIS,Life Cat Can - Kitten Salmon,Makanan Kucing,7,12024,Life Cat Can - Tuna,Makanan Kucing,6,11000,Mainan Kucing ScratchPad,Mainan Kucing,8.0,25000.0,Makanan Anjing Purina,Makanan Anjing,8.0,50000.0,,,,,750168
hiWVzeOA,2024-07-11,Transfer Bank,Life Cat Pouch - Salmon Adult,Makanan Kucing,1,4453,Life Cat Pouch - Kitten Chicken,Makanan Kucing,3,4435,Life Cat Can - Tuna,Makanan Kucing,7.0,11000.0,Mainan Kucing ScratchPad,Mainan Kucing,7.0,25000.0,Life Cat Tofu - Macha,Makanan Kucing,6.0,55833.0,604756
OiibRyZy,2024-05-06,Transfer Bank,Life Cat Pouch - Salmon Adult,Makanan Kucing,9,4453,Life Cat Tofu - Macha,Makanan Kucing,7,55833,,,,,,,,,,,,,430908
eWZLrcrb,2024-10-04,Transfer Bank,Life Cat Tofu - Mango,Makanan Kucing,4,55833,Life Cat Can - Tuna,Makanan Kucing,1,11000,Life Cat Can - Kitten Tuna,Makanan Kucing,7.0,12000.0,,,,,,,,,318332
om9egFfV,2024-03-09,QRIS,Life Cat Can - Kitten Tuna,Makanan Kucing,10,12000,Life Cat Pouch - Salmon Adult,Makanan Kucing,9,4453,,,,,,,,,,,,,160077
3bctSNo7,2024-09-04,QRIS,Life Cat Pouch - Chicken adult,Makanan Kucing,6,4435,Life Cat Tofu - Macha,Makanan Kucing,9,55833,Life Cat Can - Tuna,Makanan Kucing,9.0,11000.0,Mainan Kucing ScratchPad,Mainan Kucing,2.0,25000.0,Life Cat Can - Chicken & Salmon,Makanan Kucing,6.0,12000.0,750107
FHuUVDrz,2024-10-08,QRIS,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,1,4500,Mainan Kucing ScratchPad,Mainan Kucing,9,25000,Makanan Ikan Gupi,Makanan Ikan,9.0,35000.0,Mainan Anjing Kong,Mainan Anjing,2.0,20000.0,Makanan Anjing Purina,Makanan Anjing,6.0,50000.0,884500
tiTroKHd,2024-01-22,Cash,Life Cat Pouch Dus,Makanan Kucing,7,108000,Life Cat Tofu - Mango,Makanan Kucing,5,55833,,,,,,,,,,,,,1035165
uyFYJrk7,2024-01-28,Cash,Life Cat Can - Kitten Tuna,Makanan Kucing,1,12000,Mainan Anjing Kong,Mainan Anjing,9,20000,,,,,,,,,,,,,192000
kxNG2HeO,2024-10-07,Transfer Bank,Life Cat Tofu - Macha,Makanan Kucing,1,55833,Makanan Ikan Gupi,Makanan Ikan,5,35000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,9.0,4435.0,Life Cat Can - Tuna,Makanan Kucing,8.0,11000.0,,,,,358748
I1S1oBhj,2024-04-28,Transfer Bank,Makanan Anjing Purina,Makanan Anjing,2,50000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,2,4435,Mainan Kucing ScratchPad,Mainan Kucing,10.0,25000.0,Life Cat Pouch - Chicken adult,Makanan Kucing,10.0,4435.0,,,,,403220
ITMSJQyG,2024-11-21,Transfer Bank,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,2,4500,Life Cat Pouch - Chicken adult,Makanan Kucing,1,4435,,,,,,,,,,,,,13435
1YK29EtL,2024-08-09,Cash,Makanan Ikan Gupi,Makanan Ikan,1,35000,Life Cat Tofu - Macha,Makanan Kucing,6,55833,Makanan Kucing Whiskas,Makanan Kucing,8.0,45000.0,Life Cat Can - Chicken & Salmon,Makanan Kucing,6.0,12000.0,Life Cat Can - Tuna,Makanan Kucing,2.0,11000.0,823998
BXGzpKry,2024-06-18,Cash,Life Cat Pouch - Kitten Tuna,Makanan Kucing,6,4435,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,6,4500,Life Cat Can - Tuna,Makanan Kucing,6.0,11000.0,,,,,,,,,119610
clfypkG6,2024-05-19,QRIS,Makanan Anjing Purina,Makanan Anjing,2,50000,Life Cat Can - Kitten Tuna,Makanan Kucing,4,12000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4.0,4435.0,,,,,,,,,165740
yW4xV4PF,2024-08-20,QRIS,Life Cat Can - Kitten Tuna,Makanan Kucing,4,12000,Life Cat Pouch - Salmon Adult,Makanan Kucing,9,4453,,,,,,,,,,,,,88077
1YSSa5iv,2024-02-12,Transfer Bank,Life Cat Pouch - Kitten Tuna,Makanan Kucing,3,4435,Life Cat Can - Kitten Salmon,Makanan Kucing,6,12024,Life Cat Can - Chicken & Salmon,Makanan Kucing,3.0,12000.0,,,,,,,,,121449
wnadDIdF,2024-07-08,Transfer Bank,Life Cat Can - Tuna,Makanan Kucing,6,11000,Life Cat Pouch - Chicken adult,Makanan Kucing,7,4435,Life Cat Can - Chicken & Salmon,Makanan Kucing,9.0,12000.0,Makanan Kucing Whiskas,Makanan Kucing,1.0,45000.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,6.0,4435.0,276655
Mb1J48k5,2024-05-20,Cash,Life Cat Pouch - Chicken adult,Makanan Kucing,2,4435,Life Cat Tofu - Mango,Makanan Kucing,5,55833,,,,,,,,,,,,,288035
0exp2GsI,2024-12-08,QRIS,Life Cat Tofu - Macha,Makanan Kucing,4,55833,Makanan Anjing Purina,Makanan Anjing,5,50000,Life Cat Tofu - Mango,Makanan Kucing,4.0,55833.0,Life Cat Pouch Dus,Makanan Kucing,2.0,108000.0,Life Cat Can - Kitten Tuna,Makanan Kucing,4.0,12000.0,960664
ahZBGMfq,2024-11-24,Cash,Life Cat Can - Kitten Salmon,Makanan Kucing,10,12024,Mainan Anjing Kong,Mainan Anjing,3,20000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,6.0,4435.0,Life Cat Tofu - Mango,Makanan Kucing,6.0,55833.0,Life Cat Can - Kitten Tuna,Makanan Kucing,9.0,12000.0,649848
MmpwboyX,2024-05-19,Transfer Bank,Life Cat Can - Chicken & Salmon,Makanan Kucing,2,12000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,2,4435,Life Cat Pouch - Salmon Adult,Makanan Kucing,3.0,4453.0,Makanan Anjing Purina,Makanan Anjing,4.0,50000.0,,,,,246229
j4qJWBfl,2024-04-08,Cash,Life Cat Pouch - Kitten Tuna,Makanan Kucing,3,4435,Mainan Anjing Kong,Mainan Anjing,6,20000,Life Cat Can - Tuna,Makanan Kucing,6.0,11000.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4.0,4435.0,,,,,217045
J0blAum0,2024-06-10,Cash,Life Cat Can - Kitten Tuna,Makanan Kucing,5,12000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,10,4500,Mainan Anjing Kong,Mainan Anjing,1.0,20000.0,Life Cat Pouch - Chicken adult,Makanan Kucing,8.0,4435.0,Life Cat Tofu - Macha,Makanan Kucing,4.0,55833.0,383812
